name,latitude,longitude,description,address,phone,url,Medical marijuana available beginning:,Open on:,Product available as of 10/28/2025:,Address,City,State,Zip Code,Phone number,Website
Sunnyside - New Kensington,,,Medical marijuana available beginning:: 2/25/19 Open on:: 2/25/19 Product available as of 10/28/2025:: Yes Address: 4 Kensington Square City: New Kensington State: Pennsylvania Zip Code: 15068 Phone number: 724-276-0069 Website: www.cydispensary.com,"Medical marijuana available beginning:: 2/25/19, Open on:: 2/25/19, Product available as of 10/28/2025:: Yes, Address: 4 Kensington Square, City: New Kensington, State: Pennsylvania, Zip Code: 15068, Phone number: 724-276-0069, Website: www.cydispensary.com",724-276-0069,,2/25/19,2/25/19,Yes,4 Kensington Square,New Kensington,Pennsylvania,15068,724-276-0069,www.cydispensary.com
Curaleaf - Morton,,,Medical marijuana available beginning:: 5/6/19 Open on:: 5/6/19 Product available as of 10/28/2025:: Yes Address: 409 Baltimore Pike City: Morton State: Pennsylvania Zip Code: 19070 Phone number: 610-490-8966 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 5/6/19, Open on:: 5/6/19, Product available as of 10/28/2025:: Yes, Address: 409 Baltimore Pike, City: Morton, State: Pennsylvania, Zip Code: 19070, Phone number: 610-490-8966, Website: https://curaleaf.com/",610-490-8966,https://curaleaf.com/,5/6/19,5/6/19,Yes,409 Baltimore Pike,Morton,Pennsylvania,19070,610-490-8966,https://curaleaf.com/
Curaleaf - Bradford,,,Medical marijuana available beginning:: 5/13/19 Open on:: 5/13/19 Product available as of 10/28/2025:: Yes Address: 109 Main Street City: Bradford State: Pennsylvania Zip Code: 16701 Phone number: 814-250-0922 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 5/13/19, Open on:: 5/13/19, Product available as of 10/28/2025:: Yes, Address: 109 Main Street, City: Bradford, State: Pennsylvania, Zip Code: 16701, Phone number: 814-250-0922, Website: https://curaleaf.com/",814-250-0922,https://curaleaf.com/,5/13/19,5/13/19,Yes,109 Main Street,Bradford,Pennsylvania,16701,814-250-0922,https://curaleaf.com/
RISE - Latrobe,,,Medical marijuana available beginning:: 6/20/19 Open on:: 6/20/19 Product available as of 10/28/2025:: Yes Address: 117 Beatty County Rd City: Latrobe State: Pennsylvania Zip Code: 15650 Phone number: 724-220-4106 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 6/20/19, Open on:: 6/20/19, Product available as of 10/28/2025:: Yes, Address: 117 Beatty County Rd, City: Latrobe, State: Pennsylvania, Zip Code: 15650, Phone number: 724-220-4106, Website: www.risedispensaries.com",724-220-4106,,6/20/19,6/20/19,Yes,117 Beatty County Rd,Latrobe,Pennsylvania,15650,724-220-4106,www.risedispensaries.com
Apothecarium Dispensary - Allentown,,,Medical marijuana available beginning:: 6/22/19 Open on:: 6/22/19 Product available as of 10/28/2025:: Yes Address: 3340 Hamilton Blvd City: Allentown State: Pennsylvania Zip Code: 18103 Phone number: 484-408-6122 Website: https://shop.apothecarium.com/,"Medical marijuana available beginning:: 6/22/19, Open on:: 6/22/19, Product available as of 10/28/2025:: Yes, Address: 3340 Hamilton Blvd, City: Allentown, State: Pennsylvania, Zip Code: 18103, Phone number: 484-408-6122, Website: https://shop.apothecarium.com/",484-408-6122,https://shop.apothecarium.com/,6/22/19,6/22/19,Yes,3340 Hamilton Blvd,Allentown,Pennsylvania,18103,484-408-6122,https://shop.apothecarium.com/
Curaleaf - Lebanon,,,Medical marijuana available beginning:: 7/10/19 Open on:: 7/10/19 Product available as of 10/28/2025:: Yes Address: 815 Cumberland Street City: Lebanon State: Pennsylvania Zip Code: 17042 Phone number: 717-769-4174 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 7/10/19, Open on:: 7/10/19, Product available as of 10/28/2025:: Yes, Address: 815 Cumberland Street, City: Lebanon, State: Pennsylvania, Zip Code: 17042, Phone number: 717-769-4174, Website: https://curaleaf.com/",717-769-4174,https://curaleaf.com/,7/10/19,7/10/19,Yes,815 Cumberland Street,Lebanon,Pennsylvania,17042,717-769-4174,https://curaleaf.com/
Curaleaf - King of Prussia,,,Medical marijuana available beginning:: 7/22/19 Open on:: 7/22/19 Product available as of 10/28/2025:: Yes Address: 100 N Warner Rd City: King of Prussia State: Pennsylvania Zip Code: 19406 Phone number: 610-601-2054 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 7/22/19, Open on:: 7/22/19, Product available as of 10/28/2025:: Yes, Address: 100 N Warner Rd, City: King of Prussia, State: Pennsylvania, Zip Code: 19406, Phone number: 610-601-2054, Website: https://curaleaf.com/",610-601-2054,https://curaleaf.com/,7/22/19,7/22/19,Yes,100 N Warner Rd,King of Prussia,Pennsylvania,19406,610-601-2054,https://curaleaf.com/
Bloc dispensary - Dickson City,,,Medical marijuana available beginning:: 7/26/19 Open on:: 8/2/19 Product available as of 10/28/2025:: Yes Address: 272 Main Street City: Dickson City State: Pennsylvania Zip Code: 18519 Phone number: 570-291-4747 Website: www.blocdispensary.com,"Medical marijuana available beginning:: 7/26/19, Open on:: 8/2/19, Product available as of 10/28/2025:: Yes, Address: 272 Main Street, City: Dickson City, State: Pennsylvania, Zip Code: 18519, Phone number: 570-291-4747, Website: www.blocdispensary.com",570-291-4747,,7/26/19,8/2/19,Yes,272 Main Street,Dickson City,Pennsylvania,18519,570-291-4747,www.blocdispensary.com
Trulieve - South Philadelphia,,,Medical marijuana available beginning:: 7/26/19 Open on:: 7/26/19 Product available as of 10/28/2025:: Yes Address: 300 Packer Avenue City: Philadelphia State: Pennsylvania Zip Code: 19148 Phone number: 215-876-0420 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 7/26/19, Open on:: 7/26/19, Product available as of 10/28/2025:: Yes, Address: 300 Packer Avenue, City: Philadelphia, State: Pennsylvania, Zip Code: 19148, Phone number: 215-876-0420, Website: https://www.trulieve.com/",215-876-0420,https://www.trulieve.com/,7/26/19,7/26/19,Yes,300 Packer Avenue,Philadelphia,Pennsylvania,19148,215-876-0420,https://www.trulieve.com/
Beyond Hello - Johnstown,,,Medical marijuana available beginning:: 7/30/19 Open on:: 7/30/19 Product available as of 10/28/2025:: Yes Address: 416 Main Street City: Johnstown State: Pennsylvania Zip Code: 15901 Phone number: 814-357-9930 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 7/30/19, Open on:: 7/30/19, Product available as of 10/28/2025:: Yes, Address: 416 Main Street, City: Johnstown, State: Pennsylvania, Zip Code: 15901, Phone number: 814-357-9930, Website: www.beyond-hello.com",814-357-9930,,7/30/19,7/30/19,Yes,416 Main Street,Johnstown,Pennsylvania,15901,814-357-9930,www.beyond-hello.com
Beyond Hello - Scranton,,,Medical marijuana available beginning:: 7/31/19 Open on:: 7/31/19 Product available as of 10/28/2025:: Yes Address: 1137 Moosic Street City: Scranton State: Pennsylvania Zip Code: 18505 Phone number: 570-618-8771 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 7/31/19, Open on:: 7/31/19, Product available as of 10/28/2025:: Yes, Address: 1137 Moosic Street, City: Scranton, State: Pennsylvania, Zip Code: 18505, Phone number: 570-618-8771, Website: www.beyond-hello.com",570-618-8771,,7/31/19,7/31/19,Yes,1137 Moosic Street,Scranton,Pennsylvania,18505,570-618-8771,www.beyond-hello.com
Curaleaf - Brookville,,,Medical marijuana available beginning:: 8/21/19 Open on:: 8/21/19 Product available as of 10/28/2025:: Yes Address: 240 W Main Street City: Brookville State: Pennsylvania Zip Code: 15825 Phone number: 814-759-4069 Website: https://curaleaf.com/,"Medical marijuana available beginning:: 8/21/19, Open on:: 8/21/19, Product available as of 10/28/2025:: Yes, Address: 240 W Main Street, City: Brookville, State: Pennsylvania, Zip Code: 15825, Phone number: 814-759-4069, Website: https://curaleaf.com/",814-759-4069,https://curaleaf.com/,8/21/19,8/21/19,Yes,240 W Main Street,Brookville,Pennsylvania,15825,814-759-4069,https://curaleaf.com/
Beyond Hello - Northern Liberties Philadelphia,,,Medical marijuana available beginning:: 8/26/19 Open on:: 8/26/19 Product available as of 10/28/2025:: Yes Address: 475 N 5th Street City: Philadelphia State: Pennsylvania Zip Code: 19123 Phone number: 215-475-3580 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 8/26/19, Open on:: 8/26/19, Product available as of 10/28/2025:: Yes, Address: 475 N 5th Street, City: Philadelphia, State: Pennsylvania, Zip Code: 19123, Phone number: 215-475-3580, Website: www.beyond-hello.com",215-475-3580,,8/26/19,8/26/19,Yes,475 N 5th Street,Philadelphia,Pennsylvania,19123,215-475-3580,www.beyond-hello.com
RISE - Hermitage,,,Medical marijuana available beginning:: 9/19/19 Open on:: 9/19/19 Product available as of 10/28/2025:: Yes Address: 2880 E. State Street City: Hermitage State: Pennsylvania Zip Code: 16148 Phone number: 724-500-5508 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 9/19/19, Open on:: 9/19/19, Product available as of 10/28/2025:: Yes, Address: 2880 E. State Street, City: Hermitage, State: Pennsylvania, Zip Code: 16148, Phone number: 724-500-5508, Website: www.risedispensaries.com",724-500-5508,,9/19/19,9/19/19,Yes,2880 E. State Street,Hermitage,Pennsylvania,16148,724-500-5508,www.risedispensaries.com
Trulieve - Lancaster,,,Medical marijuana available beginning:: 9/25/19 Open on:: 9/25/19 Product available as of 10/28/2025:: Yes Address: 201 Lancaster Ave City: Reading State: Pennsylvania Zip Code: 19611 Phone number: 484-207-1717 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 9/25/19, Open on:: 9/25/19, Product available as of 10/28/2025:: Yes, Address: 201 Lancaster Ave, City: Reading, State: Pennsylvania, Zip Code: 19611, Phone number: 484-207-1717, Website: https://www.trulieve.com/",484-207-1717,https://www.trulieve.com/,9/25/19,9/25/19,Yes,201 Lancaster Ave,Reading,Pennsylvania,19611,484-207-1717,https://www.trulieve.com/
Restore Integrative Wellness Center - Doylestown,,,"Medical marijuana available beginning:: 10/14/19 Open on:: 10/14/19 Product available as of 10/28/2025:: Yes Address: 812 N Easton Road, Unit 6 City: Doylestown State: Pennsylvania Zip Code: 18902 Phone number: 267-621-3014 Website: www.restoreiwc.com","Medical marijuana available beginning:: 10/14/19, Open on:: 10/14/19, Product available as of 10/28/2025:: Yes, Address: 812 N Easton Road, Unit 6, City: Doylestown, State: Pennsylvania, Zip Code: 18902, Phone number: 267-621-3014, Website: www.restoreiwc.com",267-621-3014,,10/14/19,10/14/19,Yes,"812 N Easton Road, Unit 6",Doylestown,Pennsylvania,18902,267-621-3014,www.restoreiwc.com
Delta 9 Pittsburgh,,,Medical marijuana available beginning:: 10/17/19 Open on:: 10/17/19 Product available as of 10/28/2025:: Yes Address: 211 52nd Street City: Pittsburgh State: Pennsylvania Zip Code: 15201 Phone number: 412-439-2093 Website: http://www.keystone-integratedcare.com/,"Medical marijuana available beginning:: 10/17/19, Open on:: 10/17/19, Product available as of 10/28/2025:: Yes, Address: 211 52nd Street, City: Pittsburgh, State: Pennsylvania, Zip Code: 15201, Phone number: 412-439-2093, Website: http://www.keystone-integratedcare.com/",412-439-2093,http://www.keystone-integratedcare.com/,10/17/19,10/17/19,Yes,211 52nd Street,Pittsburgh,Pennsylvania,15201,412-439-2093,http://www.keystone-integratedcare.com/
Trulieve - Scranton,,,Medical marijuana available beginning:: 10/17/19 Open on:: 10/17/19 Product available as of 10/28/2025:: Yes Address: 340 S Washington Ave City: Scranton State: Pennsylvania Zip Code: 18505 Phone number: 570-209-7401 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 10/17/19, Open on:: 10/17/19, Product available as of 10/28/2025:: Yes, Address: 340 S Washington Ave, City: Scranton, State: Pennsylvania, Zip Code: 18505, Phone number: 570-209-7401, Website: https://www.trulieve.com/",570-209-7401,https://www.trulieve.com/,10/17/19,10/17/19,Yes,340 S Washington Ave,Scranton,Pennsylvania,18505,570-209-7401,https://www.trulieve.com/
Organic Remedies - York,,,Medical marijuana available beginning:: 10/24/19 Open on:: 10/24/19 Product available as of 10/28/2025:: Yes Address: 1098 Haines Road City: York State: Pennsylvania Zip Code: 17402 Phone number: 717-699-7083 Website: www.organicremediespa.com,"Medical marijuana available beginning:: 10/24/19, Open on:: 10/24/19, Product available as of 10/28/2025:: Yes, Address: 1098 Haines Road, City: York, State: Pennsylvania, Zip Code: 17402, Phone number: 717-699-7083, Website: www.organicremediespa.com",717-699-7083,,10/24/19,10/24/19,Yes,1098 Haines Road,York,Pennsylvania,17402,717-699-7083,www.organicremediespa.com
Beyond Hello - Bethlehem,,,"Medical marijuana available beginning:: 11/6/19 Open on:: 11/6/19 Product available as of 10/28/2025:: Yes Address: 3679 Route 378, Unit 10 City: Bethlehem State: Pennsylvania Zip Code: 18015 Phone number: 800-514-8532 Website: www.beyond-hello.com","Medical marijuana available beginning:: 11/6/19, Open on:: 11/6/19, Product available as of 10/28/2025:: Yes, Address: 3679 Route 378, Unit 10, City: Bethlehem, State: Pennsylvania, Zip Code: 18015, Phone number: 800-514-8532, Website: www.beyond-hello.com",800-514-8532,,11/6/19,11/6/19,Yes,"3679 Route 378, Unit 10",Bethlehem,Pennsylvania,18015,800-514-8532,www.beyond-hello.com
Trulieve - Johnstown,,,Medical marijuana available beginning:: 11/12/19 Open on:: 11/12/19 Product available as of 10/28/2025:: Yes Address: 339 Main Street City: Johnstown State: Pennsylvania Zip Code: 15901 Phone number: 814-258-8190 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 11/12/19, Open on:: 11/12/19, Product available as of 10/28/2025:: Yes, Address: 339 Main Street, City: Johnstown, State: Pennsylvania, Zip Code: 15901, Phone number: 814-258-8190, Website: https://www.trulieve.com/",814-258-8190,https://www.trulieve.com/,11/12/19,11/12/19,Yes,339 Main Street,Johnstown,Pennsylvania,15901,814-258-8190,https://www.trulieve.com/
Trulieve - Harrisburg,,,Medical marijuana available beginning:: 11/19/19 Open on:: 11/19/19 Product available as of 10/28/2025:: Yes Address: 2500-2504 N 6th St City: Harrisburg State: Pennsylvania Zip Code: 17110 Phone number: 717-356-0800 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 11/19/19, Open on:: 11/19/19, Product available as of 10/28/2025:: Yes, Address: 2500-2504 N 6th St, City: Harrisburg, State: Pennsylvania, Zip Code: 17110, Phone number: 717-356-0800, Website: https://www.trulieve.com/",717-356-0800,https://www.trulieve.com/,11/19/19,11/19/19,Yes,2500-2504 N 6th St,Harrisburg,Pennsylvania,17110,717-356-0800,https://www.trulieve.com/
RISE - King of Prussia,,,Medical marijuana available beginning:: 11/26/19 Open on:: 11/26/19 Product available as of 10/28/2025:: Yes Address: 445 West DeKalb Pike City: King of Prussia State: Pennsylvania Zip Code: 19706 Phone number: 610-596-9266 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 11/26/19, Open on:: 11/26/19, Product available as of 10/28/2025:: Yes, Address: 445 West DeKalb Pike, City: King of Prussia, State: Pennsylvania, Zip Code: 19706, Phone number: 610-596-9266, Website: www.risedispensaries.com",610-596-9266,,11/26/19,11/26/19,Yes,445 West DeKalb Pike,King of Prussia,Pennsylvania,19706,610-596-9266,www.risedispensaries.com
RISE - New Castle,,,Medical marijuana available beginning:: 12/17/19 Open on:: 12/17/19 Product available as of 10/28/2025:: Yes Address: 2622 W. State Street City: New Castle State: Pennsylvania Zip Code: 16101 Phone number: 724-250-8081 Website: www.risecannabis.com,"Medical marijuana available beginning:: 12/17/19, Open on:: 12/17/19, Product available as of 10/28/2025:: Yes, Address: 2622 W. State Street, City: New Castle, State: Pennsylvania, Zip Code: 16101, Phone number: 724-250-8081, Website: www.risecannabis.com",724-250-8081,,12/17/19,12/17/19,Yes,2622 W. State Street,New Castle,Pennsylvania,16101,724-250-8081,www.risecannabis.com
Beyond Hello - West Chester,,,Medical marijuana available beginning:: 12/18/19 Open on:: 12/18/19 Product available as of 10/28/2025:: Yes Address: 1261 West Chester Pike City: West Chester State: Pennsylvania Zip Code: 19382 Phone number: 610-471-1059 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 12/18/19, Open on:: 12/18/19, Product available as of 10/28/2025:: Yes, Address: 1261 West Chester Pike, City: West Chester, State: Pennsylvania, Zip Code: 19382, Phone number: 610-471-1059, Website: www.beyond-hello.com",610-471-1059,,12/18/19,12/18/19,Yes,1261 West Chester Pike,West Chester,Pennsylvania,19382,610-471-1059,www.beyond-hello.com
Trulieve - Washington,,,"Medical marijuana available beginning:: 2/14/20 Open on:: 2/14/20 Product available as of 10/28/2025:: Yes Address: 200 Adios Drive, Suite 20 City: Washington State: Pennsylvania Zip Code: 15301 Phone number: 412-422-0420 Website: https://www.trulieve.com/","Medical marijuana available beginning:: 2/14/20, Open on:: 2/14/20, Product available as of 10/28/2025:: Yes, Address: 200 Adios Drive, Suite 20, City: Washington, State: Pennsylvania, Zip Code: 15301, Phone number: 412-422-0420, Website: https://www.trulieve.com/",412-422-0420,https://www.trulieve.com/,2/14/20,2/14/20,Yes,"200 Adios Drive, Suite 20",Washington,Pennsylvania,15301,412-422-0420,https://www.trulieve.com/
Zen Leaf - Cranberry Township,,,Medical marijuana available beginning:: 3/12/20 Open on:: 3/12/20 Product available as of 10/28/2025:: Yes Address: 270 executive drive City: Cranberry Township State: Pennsylvania Zip Code: 16066 Phone number: 813-294-2029 Website: https://zenleafdispensaries.com/,"Medical marijuana available beginning:: 3/12/20, Open on:: 3/12/20, Product available as of 10/28/2025:: Yes, Address: 270 executive drive, City: Cranberry Township, State: Pennsylvania, Zip Code: 16066, Phone number: 813-294-2029, Website: https://zenleafdispensaries.com/",813-294-2029,https://zenleafdispensaries.com/,3/12/20,3/12/20,Yes,270 executive drive,Cranberry Township,Pennsylvania,16066,813-294-2029,https://zenleafdispensaries.com/
RISE - Cranberry Township,,,Medical marijuana available beginning:: 3/31/20 Open on:: 3/31/20 Product available as of 10/28/2025:: Yes Address: 20808 Route 19 City: Cranberry Township State: Pennsylvania Zip Code: 16066 Phone number: 445-900-1081 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 3/31/20, Open on:: 3/31/20, Product available as of 10/28/2025:: Yes, Address: 20808 Route 19, City: Cranberry Township, State: Pennsylvania, Zip Code: 16066, Phone number: 445-900-1081, Website: www.risedispensaries.com",445-900-1081,,3/31/20,3/31/20,Yes,20808 Route 19,Cranberry Township,Pennsylvania,16066,445-900-1081,www.risedispensaries.com
Apothecarium Dispensary - Lancaster,,,"Medical marijuana available beginning:: 4/13/20 Open on:: 4/13/20 Product available as of 10/28/2025:: Yes Address: 2405 Covered Bridge Dr, Suite 125 City: Lancaster State: Pennsylvania Zip Code: 17602 Phone number: 717-803-2420 Website: https://shop.apothecarium.com/","Medical marijuana available beginning:: 4/13/20, Open on:: 4/13/20, Product available as of 10/28/2025:: Yes, Address: 2405 Covered Bridge Dr, Suite 125, City: Lancaster, State: Pennsylvania, Zip Code: 17602, Phone number: 717-803-2420, Website: https://shop.apothecarium.com/",717-803-2420,https://shop.apothecarium.com/,4/13/20,4/13/20,Yes,"2405 Covered Bridge Dr, Suite 125",Lancaster,Pennsylvania,17602,717-803-2420,https://shop.apothecarium.com/
Liberty - Aliquippa,,,Medical marijuana available beginning:: 5/18/20 Open on:: 5/18/20 Product available as of 10/28/2025:: Yes Address: 2320 Sheffield Rd City: Aliquippa State: Pennsylvania Zip Code: 15001 Phone number: 724-203-3029 Website: www.libertydispensarypa.com,"Medical marijuana available beginning:: 5/18/20, Open on:: 5/18/20, Product available as of 10/28/2025:: Yes, Address: 2320 Sheffield Rd, City: Aliquippa, State: Pennsylvania, Zip Code: 15001, Phone number: 724-203-3029, Website: www.libertydispensarypa.com",724-203-3029,,5/18/20,5/18/20,Yes,2320 Sheffield Rd,Aliquippa,Pennsylvania,15001,724-203-3029,www.libertydispensarypa.com
Beyond Hello - Ardmore,,,Medical marijuana available beginning:: 6/1/20 Open on:: 6/1/20 Product available as of 10/28/2025:: Yes Address: 39 Cricket Ave City: Ardmore State: Pennsylvania Zip Code: 19003 Phone number: 610-471-1099 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 6/1/20, Open on:: 6/1/20, Product available as of 10/28/2025:: Yes, Address: 39 Cricket Ave, City: Ardmore, State: Pennsylvania, Zip Code: 19003, Phone number: 610-471-1099, Website: www.beyond-hello.com",610-471-1099,,6/1/20,6/1/20,Yes,39 Cricket Ave,Ardmore,Pennsylvania,19003,610-471-1099,www.beyond-hello.com
RISE - Chambersburg,,,Medical marijuana available beginning:: 6/8/20 Open on:: 6/8/20 Product available as of 10/28/2025:: Yes Address: 1640 Orchard Drive City: Chambersburg State: Pennsylvania Zip Code: 17201 Phone number: 717-400-5833 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 6/8/20, Open on:: 6/8/20, Product available as of 10/28/2025:: Yes, Address: 1640 Orchard Drive, City: Chambersburg, State: Pennsylvania, Zip Code: 17201, Phone number: 717-400-5833, Website: www.risedispensaries.com",717-400-5833,,6/8/20,6/8/20,Yes,1640 Orchard Drive,Chambersburg,Pennsylvania,17201,717-400-5833,www.risedispensaries.com
Apothecarium Dispensary - Stroudsburg,,,Medical marijuana available beginning:: 6/18/20 Open on:: 6/18/20 Product available as of 10/28/2025:: Yes Address: 1523 N 9th Street City: Stroudsburg State: Pennsylvania Zip Code: 18360 Phone number: 484-408-6122 Website: https://shop.apothecarium.com/,"Medical marijuana available beginning:: 6/18/20, Open on:: 6/18/20, Product available as of 10/28/2025:: Yes, Address: 1523 N 9th Street, City: Stroudsburg, State: Pennsylvania, Zip Code: 18360, Phone number: 484-408-6122, Website: https://shop.apothecarium.com/",484-408-6122,https://shop.apothecarium.com/,6/18/20,6/18/20,Yes,1523 N 9th Street,Stroudsburg,Pennsylvania,18360,484-408-6122,https://shop.apothecarium.com/
RISE - Duncansville,,,Medical marijuana available beginning:: 6/30/20 Open on:: 6/30/20 Product available as of 10/28/2025:: Yes Address: 370 Pound Lane City: Duncansville State: Pennsylvania Zip Code: 16635 Phone number: 814-815-8077 Website: www.risedispensaries.com,"Medical marijuana available beginning:: 6/30/20, Open on:: 6/30/20, Product available as of 10/28/2025:: Yes, Address: 370 Pound Lane, City: Duncansville, State: Pennsylvania, Zip Code: 16635, Phone number: 814-815-8077, Website: www.risedispensaries.com",814-815-8077,,6/30/20,6/30/20,Yes,370 Pound Lane,Duncansville,Pennsylvania,16635,814-815-8077,www.risedispensaries.com
Vytal Options - Harrisburg,,,Medical marijuana available beginning:: 7/1/20 Open on:: 7/1/20 Product available as of 10/28/2025:: Yes Address: 4711 Queen Avenue Suite 101 City: Harrisburg State: Pennsylvania Zip Code: 17109 Phone number: 717-303-3017 Website: www.vytaloptions.com,"Medical marijuana available beginning:: 7/1/20, Open on:: 7/1/20, Product available as of 10/28/2025:: Yes, Address: 4711 Queen Avenue Suite 101, City: Harrisburg, State: Pennsylvania, Zip Code: 17109, Phone number: 717-303-3017, Website: www.vytaloptions.com",717-303-3017,,7/1/20,7/1/20,Yes,4711 Queen Avenue Suite 101,Harrisburg,Pennsylvania,17109,717-303-3017,www.vytaloptions.com
Apothecarium Dispensary - Thorndale,,,Medical marijuana available beginning:: 7/6/20 Open on:: 7/6/20 Product available as of 10/28/2025:: Yes Address: 2701 Lincoln Highway East City: Thorndale State: Pennsylvania Zip Code: 19372 Phone number: 484-789-6420 Website: www.apothecariumpa.com,"Medical marijuana available beginning:: 7/6/20, Open on:: 7/6/20, Product available as of 10/28/2025:: Yes, Address: 2701 Lincoln Highway East, City: Thorndale, State: Pennsylvania, Zip Code: 19372, Phone number: 484-789-6420, Website: www.apothecariumpa.com",484-789-6420,,7/6/20,7/6/20,Yes,2701 Lincoln Highway East,Thorndale,Pennsylvania,19372,484-789-6420,www.apothecariumpa.com
Beyond Hello - Reading,,,Medical marijuana available beginning:: 7/13/20 Open on:: 7/13/20 Product available as of 10/28/2025:: Yes Address: 300 Cherry Street City: Reading State: Pennsylvania Zip Code: 19602 Phone number: 610-471-1184 Website: www.beyond-hello.com,"Medical marijuana available beginning:: 7/13/20, Open on:: 7/13/20, Product available as of 10/28/2025:: Yes, Address: 300 Cherry Street, City: Reading, State: Pennsylvania, Zip Code: 19602, Phone number: 610-471-1184, Website: www.beyond-hello.com",610-471-1184,,7/13/20,7/13/20,Yes,300 Cherry Street,Reading,Pennsylvania,19602,610-471-1184,www.beyond-hello.com
Verilife - Shamokin,,,Medical marijuana available beginning:: 8/3/20 Open on:: 8/3/20 Product available as of 10/28/2025:: Yes Address: 520 N. Shamokin Street City: Shamokin State: Pennsylvania Zip Code: 17872 Phone number: 888-493-6066 Website: www.verilife.com/pa,"Medical marijuana available beginning:: 8/3/20, Open on:: 8/3/20, Product available as of 10/28/2025:: Yes, Address: 520 N. Shamokin Street, City: Shamokin, State: Pennsylvania, Zip Code: 17872, Phone number: 888-493-6066, Website: www.verilife.com/pa",888-493-6066,,8/3/20,8/3/20,Yes,520 N. Shamokin Street,Shamokin,Pennsylvania,17872,888-493-6066,www.verilife.com/pa
Ethos - Montgomeryville,,,Medical marijuana available beginning:: 8/25/20 Open on:: 8/25/20 Product available as of 10/28/2025:: Yes Address: 921 Bethlehem Pike City: Montgomeryville State: Pennsylvania Zip Code: 18936 Phone number: 267-857-7295 Website: www.ethospa.com,"Medical marijuana available beginning:: 8/25/20, Open on:: 8/25/20, Product available as of 10/28/2025:: Yes, Address: 921 Bethlehem Pike, City: Montgomeryville, State: Pennsylvania, Zip Code: 18936, Phone number: 267-857-7295, Website: www.ethospa.com",267-857-7295,,8/25/20,8/25/20,Yes,921 Bethlehem Pike,Montgomeryville,Pennsylvania,18936,267-857-7295,www.ethospa.com
Restore Integrative Wellness Center - Pottstown,,,Medical marijuana available beginning:: 9/8/20 Open on:: 9/8/20 Product available as of 10/28/2025:: Yes Address: 1450 East High Street City: Pottstown State: Pennsylvania Zip Code: 19464 Phone number: 484-391-2951 Website: www.restoreiwc.com,"Medical marijuana available beginning:: 9/8/20, Open on:: 9/8/20, Product available as of 10/28/2025:: Yes, Address: 1450 East High Street, City: Pottstown, State: Pennsylvania, Zip Code: 19464, Phone number: 484-391-2951, Website: www.restoreiwc.com",484-391-2951,,9/8/20,9/8/20,Yes,1450 East High Street,Pottstown,Pennsylvania,19464,484-391-2951,www.restoreiwc.com
Trulieve - Cranberry Township,,,Medical marijuana available beginning:: 9/30/20 Open on:: 9/30/20 Product available as of 10/28/2025:: Yes Address: 20269 Route 19N City: Cranberry Township State: Pennsylvania Zip Code: 16066 Phone number: 878-217-0350 Website: https://www.trulieve.com/,"Medical marijuana available beginning:: 9/30/20, Open on:: 9/30/20, Product available as of 10/28/2025:: Yes, Address: 20269 Route 19N, City: Cranberry Township, State: Pennsylvania, Zip Code: 16066, Phone number: 878-217-0350, Website: https://www.trulieve.com/",878-217-0350,https://www.trulieve.com/,9/30/20,9/30/20,Yes,20269 Route 19N,Cranberry Township,Pennsylvania,16066,878-217-0350,https://www.trulieve.com/
Vytal Options - Lancaster,,,Medical marijuana available beginning:: 10/1/20 Open on:: 10/1/20 Product available as of 10/28/2025:: Yes Address: 39 E Chestnut Street City: Lancaster State: Pennsylvania Zip Code: 17602 Phone number: 717-327-4740 Website: www.vytaloptions.com,"Medical marijuana available beginning:: 10/1/20, Open on:: 10/1/20, Product available as of 10/28/2025:: Yes, Address: 39 E Chestnut Street, City: Lancaster, State: Pennsylvania, Zip Code: 17602, Phone number: 717-327-4740, Website: www.vytaloptions.com",717-327-4740,,10/1/20,10/1/20,Yes,39 E Chestnut Street,Lancaster,Pennsylvania,17602,717-327-4740,www.vytaloptions.com
